emdb_id,resolution,fitted_pdbs,deposition_date,map_release_date
EMD-2644,3.9,3j7r,2014-05-13T00:00:00Z,2014-07-16T00:00:00Z
EMD-2762,3.4,3j7y,2014-08-26T00:00:00Z,2014-10-15T00:00:00Z
EMD-6057,3.9,3j7z,2014-08-27T00:00:00Z,2014-10-22T00:00:00Z
EMD-2807,3.8,3j8h,2014-10-24T00:00:00Z,2015-01-14T00:00:00Z
EMD-2857,3.5,5adx,2015-01-21T00:00:00Z,2015-03-04T00:00:00Z
EMD-2856,4.0,5adx,2015-01-21T00:00:00Z,2015-03-04T00:00:00Z
EMD-2858,4.6,,2015-01-22T00:00:00Z,2016-02-03T00:00:00Z
EMD-4001,3.7,5l3p,2016-05-24T00:00:00Z,2016-07-20T00:00:00Z
EMD-4074,4.3,5lmo,2016-08-01T00:00:00Z,2016-10-05T00:00:00Z
EMD-4079,4.15,5lmt,2016-08-01T00:00:00Z,2016-10-05T00:00:00Z
EMD-3040,3.83,3jai,2015-06-07T00:00:00Z,2015-08-12T00:00:00Z
EMD-3039,3.45,3jah,2015-06-07T00:00:00Z,2015-08-12T00:00:00Z
EMD-3038,3.65,3jag,2015-06-07T00:00:00Z,2015-08-12T00:00:00Z
EMD-3047,3.46,3jam,2015-06-15T00:00:00Z,2015-08-05T00:00:00Z
EMD-4090,3.9,,2016-08-03T00:00:00Z,2016-10-19T00:00:00Z
EMD-3045,3.9,3jan,2015-06-15T00:00:00Z,2015-08-12T00:00:00Z
EMD-3046,3.9,,2015-06-15T00:00:00Z,2015-08-12T00:00:00Z
EMD-6478,2.9,3jbs,2015-10-05T00:00:00Z,2015-10-21T00:00:00Z
EMD-6382,3.6,3jb8,2015-07-10T00:00:00Z,2016-07-13T00:00:00Z
EMD-8009,4.5,,2015-12-14T00:00:00Z,2016-03-30T00:00:00Z
EMD-8008,4.6,,2015-12-14T00:00:00Z,2016-03-30T00:00:00Z
EMD-8010,4.5,,2015-12-14T00:00:00Z,2016-03-30T00:00:00Z
EMD-8007,4.3,,2015-12-14T00:00:00Z,2016-03-30T00:00:00Z
EMD-8118,3.28,5irz,2016-03-31T00:00:00Z,2016-05-25T00:00:00Z
EMD-8119,3.43,5is0,2016-03-31T00:00:00Z,2016-05-25T00:00:00Z
